# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.2.0
#@/tick	59920
#@/user_id	a3f7dcb2-0928-4193-a2ba-17639e20d824
a 	啊	c=69 d=1.27665 t=59808
xiang yao shi yong 	想要使用	c=1 d=1 t=39755
xiang ying 	相應	c=17 d=0.118332 t=59920
xiang ying 	響應	c=7 d=0.0330184 t=59920
xiang ying ji lu 	相應記錄	c=2 d=1.42528 t=20739
xiang yong 	想用	c=1 d=1 t=31220
xiang you 	向右	c=1 d=1 t=15627
xiang zhe 	想着	c=1 d=1 t=56116
xiang zuo 	想做	c=1 d=1 t=42200
xiao 	小	c=25 d=0.00271221 t=59920
xiao biao 	小表	c=1 d=1 t=59913
xiao dan 	小單	c=1 d=1 t=48090
xiao de 	小的	c=1 d=1 t=56821
xiao diao 	消掉	c=1 d=1 t=39633
xiao duan 	小端	c=1 d=1 t=57848
xiao duan cun chu 	小端存儲	c=1 d=1.81865e-07 t=59920
xiao fan wei 	小範圍	c=1 d=0.00209124 t=59920
xiao gai lv 	小概率	c=2 d=1 t=56530
xiao guan 	小關	c=3 d=2.56527 t=58204
xiao guo 	效果	c=15 d=2.12092 t=50438
xiao hai 	小孩	c=5 d=1 t=19254
xiao hao 	消耗	c=4 d=1 t=50101
xiao hua 	消化	c=1 d=1 t=32203
xiao hui 	銷毀	c=5 d=0.000896823 t=59920
xiao huo zi 	小夥子	c=1 d=1 t=27561
xiao ji lv 	小機率	c=1 d=1 t=31418
xiao jie 	小節	c=5 d=1 t=50955
xiao kuai 	小塊	c=1 d=1 t=9653
xiao le 	小了	c=1 d=1 t=48285
xiao lv 	效率	c=12 d=1.20987e-06 t=59920
xiao peng 	小鵬	c=2 d=1 t=53487
xiao peng 	曉鵬	c=2 d=1 t=53488
xiao peng you 	小朋友	c=1 d=1 t=41494
xiao pi liang 	小批量	c=1 d=1 t=39356
xiao qu 	小區	c=2 d=1.94176 t=37428
xiao ren wu 	小任務	c=3 d=2.31966 t=55355
xiao shi 	小時	c=1 d=1 t=33205
xiao shi 	消失	c=2 d=1.00003 t=53410
xiao wen 	小文	c=1 d=1 t=47287
xiao wen jian 	小文件	c=15 d=2.87897 t=59305
xiao wen ti 	小問題	c=3 d=1 t=38852
xiao xi 	消息	c=18 d=1 t=57836
xiao xi tou 	消息頭	c=1 d=1 t=19627
xiao xiao 	小小	c=1 d=7.94939e-07 t=59920
xiao xie 	小寫	c=2 d=1.95123 t=35202
xiao xing 	小型	c=1 d=7.32052e-08 t=59920
xiao yu 	小於	c=9 d=5.9043e-08 t=59920
xiao zu 	小組	c=0 d=0.1 t=9089
xiao zu nei 	小組內	c=2 d=1.94176 t=9102
xie 	些	c=13 d=1.51125e-05 t=59920
xie 	寫	c=55 d=0.0363727 t=59920
xie 	鞋	c=1 d=1 t=9867
xie biao 	寫表	c=2 d=1 t=52755
xie biao 	謝表	c=1 d=1 t=49300
xie chao 	寫超	c=1 d=1 t=57773
xie cheng 	寫成	c=5 d=0.000190097 t=59920
xie chu 	寫出	c=1 d=1 t=42892
xie chu lai 	寫出來	c=1 d=1 t=39070
xie cuo 	寫錯	c=1 d=1.09656 t=41070
xie cuo le 	寫錯了	c=2 d=1 t=49698
xie dao 	寫到	c=3 d=0.0471227 t=59920
xie de 	寫的	c=3 d=1 t=57068
xie diao 	卸掉	c=4 d=1.00015 t=33049
xie fa 	寫法	c=1 d=1 t=6217
xie gai 	寫該	c=1 d=1 t=57077
xie guo 	寫過	c=1 d=1 t=32734
xie hao le 	寫好了	c=2 d=1.98511 t=37626
xie huai 	寫壞	c=1 d=1 t=30715
xie le 	寫了	c=4 d=0.164474 t=59920
xie lou 	泄漏	c=13 d=2.72671e-07 t=59920
xie ming 	寫明	c=3 d=1 t=57079
xie qing chu 	寫清楚	c=1 d=1 t=33747
xie quan 	寫全	c=0 d=0.1 t=32152
xie ru 	寫入	c=57 d=0.111745 t=59920
xie ru le 	寫入了	c=2 d=1.98511 t=46583
xie shang 	協商	c=3 d=1 t=31225
xie shang 	寫上	c=2 d=0.0232837 t=59920
xie si le 	寫死了	c=1 d=1 t=55515
xie tiao 	協調	c=3 d=1 t=48694
xie wan 	卸完	c=2 d=1 t=32398
xie wan le 	卸完了	c=1 d=1 t=14624
xie xie 	謝謝	c=5 d=1 t=53900
xie xu 	些許	c=1 d=1 t=42724
xie yi 	協議	c=11 d=0.00878518 t=59920
xie yi zhi chi 	協議支持	c=1 d=1 t=39948
xie zai 	卸載	c=18 d=1 t=56779
xie zhu 	協助	c=16 d=5.42942 t=37582
xie zuo 	協作	c=3 d=1 t=35971
xin 	心	c=0 d=0.1 t=20045
xin 	新	c=138 d=1.38809 t=59920
xin ban 	新版	c=9 d=1.85815 t=57234
xin de 	心得	c=1 d=1 t=14748
xin de 	新的	c=20 d=0.000831034 t=59920
xin hao 	信號	c=1 d=1 t=24182
xin jia 	新家	c=2 d=1 t=40149
xin jian 	新建	c=12 d=0.000108463 t=59920
xin jiu 	新舊	c=1 d=0.1 t=34355
xin jiu du 	新舊度	c=3 d=2.77896 t=34385
xin ku 	辛苦	c=1 d=1 t=11877
xin lai 	信賴	c=2 d=1.00001 t=14911
xin lao 	新老	c=1 d=1 t=4072
xin lei 	新類	c=1 d=1 t=44870
xin mo xing 	新模型	c=1 d=9.05145e-05 t=59920
xin nian kuai le 	新年快樂	c=1 d=1 t=11501
xin ren 	新人	c=1 d=1 t=14849
xin shi wu 	新事物	c=2 d=1.96561 t=47609
xin shou 	新手	c=1 d=0.970446 t=59920
xin si 	心思	c=1 d=1 t=20685
xin tian jia 	新添加	c=3 d=1.79057 t=41636
xin wen jian 	新文件	c=2 d=0.0103124 t=59920
xin xi 	信息	c=118 d=0.0148317 t=59920
xin xie 	新些	c=1 d=1 t=26297
xin xin 	信心	c=1 d=1 t=34988
xin zeng 	新增	c=11 d=1.99501 t=58165
xing 	型	c=2 d=1.06561 t=43729
xing 	性	c=7 d=0.100003 t=49631
xing 	興	c=1 d=1 t=48092
xing 	行	c=32 d=1 t=56474
xing bu xing 	行不行	c=1 d=1 t=21607
xing che 	行車	c=1 d=1 t=39456
xing cheng 	形成	c=3 d=0.1 t=50014
xing cheng le 	形成了	c=1 d=1 t=50015
xing de hua 	行的話	c=1 d=1 t=15230
xing ge 	性格	c=1 d=3.45738e-06 t=59920
xing huan 	星環	c=1 d=1 t=37870
xing jia 	興家	c=7 d=1.00004 t=51166
xing kui 	幸虧	c=1 d=1 t=47067
xing le 	行了	c=9 d=1 t=53952
xing me 	行麼	c=5 d=1 t=30352
xing ming 	姓名	c=1 d=0.00327971 t=59920
xing neng 	性能	c=188 d=3.07456 t=59920
xing neng ce shi 	性能測試	c=1 d=1 t=33511
xing neng wen ti 	性能問題	c=1 d=1 t=49640
xing qi 	星期	c=4 d=1 t=58274
xing qu 	興趣	c=4 d=1 t=57676
xing ru 	形如	c=6 d=1 t=42912
xing shi 	形式	c=4 d=1 t=57089
xing shi hua 	形式化	c=1 d=1 t=38744
xing wei 	行爲	c=2 d=1 t=39415
xiong di 	兄弟	c=2 d=1.956 t=50986
xiu 	修	c=2 d=0.1 t=52285
xiu dui 	修對	c=1 d=1 t=49083
xiu fu 	修復	c=23 d=1 t=46966
xiu gai 	修改	c=148 d=0.272216 t=59920
xiu gai hou 	修改後	c=5 d=1.89583 t=48266
xiu gai le 	修改了	c=2 d=1 t=42126
xiu gai wan 	修改完	c=1 d=1 t=19669
xiu gai xia 	修改下	c=1 d=1 t=31258
xiu guo le 	修過了	c=1 d=1 t=11645
xiu hao 	修好	c=0 d=0.1 t=7062
xiu hao le 	修好了	c=1 d=1 t=7063
xiu le 	修了	c=1 d=1 t=38103
xiu li 	修理	c=1 d=1 t=47048
xiu xi 	休息	c=3 d=1.99501 t=36345
xiu zheng 	修正	c=9 d=2.85394 t=58708
xu 	虛	c=2 d=0.1 t=45320
xu 	需	c=27 d=1.02201 t=58645
xu duo 	許多	c=1 d=1 t=59794
xu gai 	需該	c=1 d=1 t=26317
xu han shu 	虛函數	c=1 d=1 t=45321
xu lie hua 	序列化	c=3 d=1.59695e-07 t=59920
xu ni 	虛擬	c=15 d=2.03787 t=59062
xu ni ji 	虛擬機	c=24 d=1.04642 t=58428
xu qiu 	需求	c=41 d=2.33142 t=59920
xu yan 	序言	c=1 d=1 t=21371
xu yao 	需要	c=209 d=1.46133 t=59920
xu yao shi 	需要時	c=1 d=1 t=54385
xu yao wo 	需要我	c=1 d=1 t=56778
xu yao zuo 	需要做	c=1 d=1 t=23294
xu ying 	虛應	c=1 d=1 t=59364
xu yong 	需用	c=1 d=1 t=50356
xu zai 	須在	c=1 d=1 t=50357
xuan 	選	c=2 d=1 t=12328
xuan ding 	選定	c=1 d=1 t=25041
xuan qu 	選取	c=2 d=2.1717e-06 t=59920
xuan ran 	渲染	c=1 d=1 t=3806
xuan xiang 	選項	c=59 d=3.10273 t=54943
xuan xuan 	暖暖	c=1 d=1 t=42659
xuan ze 	選擇	c=13 d=0.00477195 t=59920
xue 	學	c=0 d=0.1 t=38048
xue de 	學得	c=2 d=4.20179e-06 t=59920
xue hao le 	學好了	c=1 d=1 t=38049
xue lian 	雪蓮	c=0 d=0.1 t=12953
xue xi 	學習	c=8 d=4.32975e-06 t=59920
xue xi le 	學習了	c=2 d=1.97531 t=22921
xue xi xue xi 	學習學習	c=1 d=1 t=28852
xue xue 	學學	c=1 d=1 t=38029
xun huan 	循環	c=3 d=1.0001 t=57373
xun huan xia qu le 	循環下去了	c=1 d=1 t=55998
xun su 	迅速	c=2 d=0.1 t=50208
xun su zai 	迅速在	c=1 d=1 t=50209
xun zhao 	尋找	c=2 d=5.04262e-05 t=59920
ya 	呀	c=11 d=7.82971e-05 t=59920
ya 	雅	c=2 d=0.000982903 t=59920
ya jie 	雅潔	c=0 d=0.1 t=31500
ya li 	壓力	c=12 d=1.855 t=56351
ya song 	押送	c=2 d=1 t=49424
ya suo 	壓縮	c=23 d=0.00124328 t=59920
ya suo bao 	壓縮包	c=2 d=1 t=47424
ya suo tai 	壓縮態	c=1 d=1 t=34049
yan 	眼	c=2 d=8.52579e-07 t=59920
yan chi 	延遲	c=7 d=2.40104e-06 t=59920
yan fa 	研發	c=18 d=0.234582 t=59920
yan fa ji hua 	研發計劃	c=1 d=1 t=51356
yan fa yi bu 	研發一部	c=1 d=1 t=52612
yan ge 	嚴格	c=4 d=1.00031 t=53316
yan jiang 	演講	c=2 d=1 t=35088
yan jing 	眼鏡	c=1 d=1 t=27563
yan jiu 	研究	c=12 d=1.00119 t=49509
yan jiu yan jiu 	研究研究	c=1 d=1 t=36508
yan lian 	演練	c=1 d=1 t=8030
yan mo 	淹沒	c=0 d=0.1 t=49189
yan mo le 	淹沒了	c=2 d=1.99501 t=49191
yan se 	顏色	c=1 d=1 t=30250
yan xu 	延續	c=1 d=1 t=47833
yan zheng 	驗證	c=15 d=1 t=51045
yan zhong 	嚴重	c=5 d=1 t=51315
yang 	楊	c=1 d=1.9258e-05 t=59920
yang 	樣	c=2 d=0.1 t=56033
yang le 	樣了	c=1 d=0.100006 t=38758
yang ying chao 	楊英超	c=53 d=0.929092 t=59920
yang zi 	樣子	c=2 d=1 t=37862
yao 	要	c=55 d=0.007667 t=59920
yao bu 	要不	c=22 d=1 t=51970
yao bu ran 	要不然	c=1 d=1 t=39038
yao bu yao 	要不要	c=2 d=1 t=20187
yao de 	要得	c=1 d=1 t=53331
yao dian 	要點	c=5 d=1 t=48992
yao hao 	要好	c=1 d=1 t=8623
yao hua 	耀華	c=1 d=1 t=13316
yao le 	搖了	c=1 d=1 t=58077
yao me 	要麼	c=7 d=2.69521 t=57985
yao qiu 	要求	c=23 d=0.000111747 t=59920
yao qiu me 	要求麼	c=1 d=1 t=13908
yao shen me 	要什麼	c=1 d=1 t=26983
yao shi 	要是	c=29 d=1.1174 t=54048
yao yi fen 	要一份	c=1 d=1 t=51772
yao yi ge 	要一個	c=1 d=1 t=15097
yao yong 	要用	c=6 d=1 t=36410
yao zuo 	要做	c=4 d=1 t=56796
ye 	也	c=232 d=0.484485 t=59920
ye 	頁	c=22 d=0.582748 t=59920
ye ba 	也把	c=1 d=1 t=41266
ye bu 	也不	c=1 d=1 t=50154
ye bu gui su 	夜不歸宿	c=1 d=1 t=10563
ye bu hui 	也不會	c=1 d=1 t=53409
ye bu zhi dao 	也不知道	c=1 d=1 t=18169
ye de 	也得	c=3 d=1.00002 t=41502
ye hao 	也好	c=2 d=1.95123 t=26348
ye hui 	也會	c=12 d=0.000452827 t=59920
ye jiao 	也叫	c=1 d=1 t=42213
ye jiu 	也就	c=5 d=1.00066 t=58885
ye jiu shi 	也就是	c=3 d=1 t=58115
ye jiu shi shuo 	也就是說	c=4 d=1 t=52116
ye kan bu dong 	也看不懂	c=1 d=1 t=17736
ye ke 	也可	c=1 d=1 t=53418
ye ke yi 	也可以	c=1 d=1 t=53663
ye mei 	頁眉	c=1 d=0.00116504 t=59920
ye mian 	頁面	c=17 d=1 t=45578
ye neng 	也能	c=2 d=1.99501 t=55022
ye qing 	也請	c=1 d=1 t=56518
ye shi 	也是	c=25 d=0.00506703 t=59920
ye wu 	業務	c=1 d=0.000101546 t=59920
ye xing 	也行	c=2 d=1 t=35851
ye xu 	也許	c=11 d=1 t=57653
ye yong 	也用	c=1 d=1 t=32064
ye you 	也有	c=6 d=4.70251e-08 t=59920
ye you ge 	也有個	c=1 d=1 t=39420
ye you yi ge 	也有一個	c=1 d=4.72608e-07 t=59920
ye zai 	也在	c=1 d=1 t=39174
ye zhi shi 	也只是	c=1 d=1 t=35652
ye zi 	葉子	c=2 d=1.06555 t=50381
yi 	一	c=18 d=1.97045 t=56670
yi 	以	c=36 d=0.0570978 t=59920
yi 	儀	c=1 d=1 t=48084
yi 	已	c=80 d=0.543403 t=59920
yi 	軼	c=1 d=0.000287295 t=59920
yi ba 	一把	c=0 d=0.1 t=12589
yi ba suo 	一把鎖	c=1 d=1 t=12590
yi ban 	一半	c=1 d=1 t=25079
yi ban 	一版	c=3 d=1 t=44366
yi ban 	一般	c=20 d=0.0211736 t=59920
yi ban lai shuo 	一般來說	c=1 d=1 t=20553
yi bei 	一倍	c=1 d=1 t=34097
yi ben 	一本	c=0 d=0.1 t=22447
yi bian 	一遍	c=9 d=1.00059 t=34899
yi bian 	以便	c=16 d=0.594729 t=59920
yi bing 	一併	c=1 d=1 t=23763
yi bu 	一部	c=11 d=0.235758 t=59920
yi bu 	異步	c=21 d=1.00001 t=54991
yi bu fen 	一部分	c=6 d=1 t=57121
yi bu tong xun 	異步通訊	c=1 d=1 t=8601
yi bu yi bu 	一步一步	c=1 d=1 t=46914
yi ceng 	一層	c=4 d=1.31349 t=58740
yi chang 	異常	c=77 d=0.458946 t=59920
yi chu 	一處	c=2 d=1.00002 t=22479
yi chu 	溢出	c=3 d=1.97079 t=30868
yi chu 	移除	c=8 d=1 t=57057
yi chu le 	移除了	c=1 d=1 t=39944
yi ci 	一次	c=22 d=0.0538966 t=59920
yi ci 	依次	c=1 d=1 t=50295
yi ci xing 	一次性	c=1 d=1 t=39347
yi da dui 	一大堆	c=2 d=1 t=57628
yi dan 	一旦	c=14 d=0.000520313 t=59920
yi dao 	一到	c=1 d=1 t=58272
yi dao 	移到	c=1 d=1 t=34735
yi dian 	一點	c=16 d=3.67117e-06 t=59920
yi diao 	一調	c=1 d=1 t=19602
yi ding 	一定	c=18 d=1 t=53377
yi dong 	移動	c=2 d=1 t=52860
yi duan 	一段	c=4 d=2.11735e-06 t=59920
yi dui 	一堆	c=0 d=0.1 t=11721
yi dui shi qing 	一堆事情	c=1 d=1 t=11722
yi eh 	已誒	c=1 d=1 t=49893
yi fang 	以防	c=2 d=1 t=57892
yi fang zhi 	以防止	c=1 d=1 t=50081
yi fei qi 	已廢棄	c=2 d=0.869923 t=59920
yi fen 	一份	c=10 d=0.00289433 t=59920
yi fu 	衣服	c=2 d=1 t=25230
yi ge 	一個	c=321 d=0.461662 t=59920
yi ge jin 	一個勁	c=1 d=1 t=23248
yi ge xian cheng 	一個線程	c=1 d=1 t=30335
yi ge yi ge lai 	一個一個來	c=1 d=1 t=46930
yi gong 	一共	c=10 d=1.48191 t=57311
yi hang 	一行	c=2 d=1 t=30827
yi he 	已和	c=1 d=1 t=47195
yi hou 	以後	c=31 d=0.0188094 t=59920
yi hui 	一會	c=38 d=1.25834 t=57179
yi huo 	疑惑	c=1 d=1 t=12640
yi ji 	以及	c=82 d=0.604797 t=59920
yi jian 	意見	c=10 d=0.0131675 t=59920
yi jian le 	意見了	c=1 d=1 t=51202
yi jiao 	移交	c=2 d=1 t=55705
yi jing 	已經	c=98 d=0.00778454 t=59920
yi ju 	一句	c=1 d=1 t=17950
yi ju 	依據	c=1 d=1 t=34532
yi ju hua 	一句話	c=1 d=1 t=16388
yi kai shi 	一開始	c=1 d=1 t=16456
yi kan 	一看	c=3 d=1 t=37429
yi kuai 	一塊	c=7 d=1 t=57365
yi lai 	一來	c=2 d=1.03597 t=40879
yi lai 	以來	c=2 d=1 t=16580
yi lai 	依賴	c=27 d=1.00175 t=59844
yi lai ku 	依賴庫	c=1 d=1 t=58114
yi liang 	一兩	c=0 d=0.1 t=41502
yi liang ge 	一兩個	c=1 d=1 t=41503
yi lie 	一列	c=1 d=1 t=49247
yi lou 	遺漏	c=2 d=1 t=10732
yi man 	已滿	c=3 d=1.00006 t=33410
yi nei 	以內	c=1 d=1 t=42617
yi pian 	一片	c=1 d=1 t=35493
yi pian 	一篇	c=1 d=1 t=5734
yi piao 	一票	c=1 d=1 t=17752
yi qi 	一期	c=3 d=1.01538 t=24215
yi qi 	一起	c=19 d=1.0213 t=58248
yi qi 	以期	c=1 d=1 t=48362
yi qian 	一千	c=1 d=1 t=14523
yi qian 	以前	c=12 d=0.00346515 t=59920
yi que bao 	已確保	c=1 d=1 t=54106
yi ran 	依然	c=3 d=7.84998e-06 t=59920
yi ren 	一人	c=1 d=1 t=10702
yi shang 	以上	c=2 d=1.00126 t=55653
yi sheng 	一聲	c=1 d=1 t=56662
yi shi 	一時	c=2 d=1.05366 t=14590
yi shi 	意識	c=1 d=1 t=14028
yi shi ban hui 	一時半會	c=1 d=1 t=13257
yi si 	意思	c=26 d=3.38074e-07 t=59920
yi tai 	一臺	c=5 d=0.000176887 t=59920
yi tao 	一套	c=3 d=1 t=42338
yi tian 	一天	c=5 d=1.78589 t=53699
yi tian jia 	已添加	c=1 d=1 t=46018
yi tiao 	一條	c=8 d=3.43184e-07 t=59920
yi ting 	一聽	c=1 d=1 t=22416
yi tuo 	依託	c=1 d=1 t=3479
yi wai 	意外	c=1 d=1 t=18633
yi wan 	一萬	c=1 d=1 t=14515
yi wan cheng 	已完成	c=2 d=0.0645703 t=59920
yi wan shang 	已晚上	c=2 d=1 t=52484
yi wei 	以爲	c=3 d=1 t=52277
yi wei 	意味	c=1 d=1 t=46528
yi wei zhe 	意味着	c=2 d=1 t=58886
yi wen 	疑問	c=11 d=1.90032 t=55464
yi xi lie 	一系列	c=2 d=1 t=35157
yi xia 	一下	c=328 d=1.20465 t=59920
yi xia 	以下	c=2 d=1 t=48913
yi xia ge 	一下個	c=1 d=1 t=36701
yi xia ha 	一下哈	c=1 d=1 t=11885
yi xiang 	意向	c=1 d=1 t=11938
yi xiao bu fen 	一小部分	c=1 d=1 t=33362
yi xie 	一些	c=123 d=0.220074 t=59920
yi xiu gai 	已修改	c=1 d=1 t=53113
yi yan 	一眼	c=6 d=1.0012 t=40052
yi yang 	一樣	c=23 d=1.23876e-07 t=59920
yi yang le 	一樣了	c=2 d=1 t=39708
yi yi 	意義	c=17 d=1.70117 t=57008
yi yong 	易用	c=2 d=1 t=16237
yi you 	已由	c=1 d=0.0169922 t=59920
yi yu 	易於	c=1 d=1 t=45989
yi yuan 	醫院	c=3 d=1 t=47064
yi zhang 	一張	c=3 d=1 t=32662
yi zhen 	一陣	c=1 d=0.000259284 t=59920
yi zhi 	一直	c=28 d=0.00680566 t=59920
yi zhi 	一致	c=25 d=1.88692 t=54431
yi zhi 	已知	c=5 d=0.000735471 t=59920
yi zhi 	移植	c=5 d=1.96079 t=40549
yi zhi xing 	一致性	c=2 d=1 t=41856
yi zhong 	一種	c=2 d=1 t=57797
yi zhou 	一週	c=2 d=1 t=58404
yi zhu ce 	已註冊	c=1 d=8.33681e-08 t=59920
yi zu 	一組	c=9 d=7.98071 t=51374
yin 	因	c=12 d=1.00185 t=48674
yin cang 	隱藏	c=1 d=1 t=31943
yin chu 	引出	c=1 d=1 t=10924
yin ci 	因此	c=13 d=1 t=56219
yin dao 	引導	c=2 d=1.47001 t=21207
yin fa 	引發	c=19 d=1.49478 t=47419
yin han 	隱含	c=1 d=1 t=51869
yin qi 	因其	c=1 d=1 t=7632
yin qi 	引起	c=17 d=0.1 t=53858
yin qi lai 	引起來	c=1 d=1 t=59817
yin qi le 	引起了	c=1 d=1 t=40945
yin qi zhong shi 	引起重視	c=1 d=1 t=53859
yin qing 	引擎	c=7 d=1 t=58917
yin qing ceng 	引擎層	c=3 d=1 t=53546
yin ru 	引入	c=43 d=1.4683 t=59920
yin ru le 	引入了	c=7 d=1 t=58876
yin su 	因素	c=4 d=1 t=58911
yin wei 	因爲	c=71 d=2.00002 t=59441
yin wei zai 	因爲在	c=1 d=1 t=7052
yin xiang 	印象	c=3 d=1 t=37868
yin xiang li 	印象裏	c=1 d=1 t=28951
yin yong 	引用	c=15 d=1.98512 t=53552
yin yong le 	引用了	c=2 d=1.96561 t=37484
yin yue 	音樂	c=1 d=1 t=7145
ying 	應	c=10 d=0.416862 t=59920
ying 	硬	c=1 d=0.102133 t=55563
ying bian ma 	應編碼	c=2 d=1 t=55563
ying bian ma 	硬編碼	c=2 d=1.52205 t=55694
ying chao 	英超	c=44 d=0.53724 t=59920
ying chou 	應酬	c=0 d=0.1 t=33003
ying chou me 	應酬麼	c=1 d=1 t=33004
ying cun 	英寸	c=1 d=0.000277414 t=59920
ying da 	應答	c=2 d=1.9802 t=32594
ying dui 	應對	c=1 d=1 t=52681
ying gai 	應該	c=243 d=1.23915 t=59920
ying gai shi 	應該是	c=3 d=1 t=48004
ying gai you 	應該有	c=1 d=1 t=14690
ying he 	應和	c=1 d=1 t=40525
ying jian 	硬件	c=23 d=1 t=59198
ying pan 	硬盤	c=7 d=0.000613998 t=59920
ying wen 	英文	c=1 d=1 t=54622
ying xiang 	影像	c=0 d=0.1 t=18152
ying xiang 	影響	c=67 d=1.00003 t=59336
ying xiang le 	影響了	c=1 d=1 t=57718
ying xing 	硬性	c=1 d=1 t=38655
ying yong 	應用	c=18 d=0.339596 t=59920
ying yong ceng 	應用層	c=5 d=3.39178 t=5372
ying yong cheng xu 	應用程序	c=1 d=1 t=47477
ying yong yu 	應用於	c=2 d=1 t=32815
ying yu 	英語	c=1 d=1 t=34305
yong 	用	c=296 d=0.895929 t=59920
yong ba 	用吧	c=2 d=1 t=31280
yong biao 	用表	c=1 d=1 t=8009
yong bu shang 	用不上	c=1 d=1 t=11108
yong bu yong 	用不用	c=1 d=1 t=59770
yong chu 	用處	c=1 d=1 t=12356
yong dao 	用到	c=19 d=0.000523486 t=59920
yong dao le 	用到了	c=2 d=1 t=59760
yong de 	用的	c=2 d=1 t=30947
yong de hua 	用的話	c=1 d=1 t=39422
yong diao 	用掉	c=1 d=1 t=20338
yong du 	擁堵	c=1 d=1.81396e-06 t=59920
yong fa 	用法	c=12 d=0.965605 t=59920
yong guo 	用過	c=3 d=1 t=53221
yong hu 	用戶	c=35 d=0.00560669 t=59920
yong hu ming 	用戶名	c=1 d=0.00113061 t=59920
yong lai 	用來	c=23 d=1 t=53241
yong le 	永樂	c=1 d=1 t=15247
yong le 	用了	c=5 d=1.98513 t=33498
yong li 	用例	c=70 d=0.946712 t=59920
yong liang tian 	用兩天	c=1 d=0.913931 t=59920
yong qi lai 	用起來	c=4 d=2.88785e-06 t=59920
yong ta 	用它	c=2 d=1 t=43136
yong tu 	用途	c=1 d=0.102894 t=58438
yong wan 	用完	c=22 d=1.23516e-05 t=59920
yong wan ba 	用完吧	c=1 d=1 t=33071
yong wan gao su wo 	用完告訴我	c=1 d=1 t=33399
yong wan le 	用完了	c=3 d=1 t=33028
yong xia 	用下	c=3 d=1 t=56007
yong yi hui 	用一會	c=2 d=1 t=36310
yong yi xia 	用一下	c=3 d=1 t=45102
yong you 	擁有	c=2 d=1.96079 t=22951
yong yu 	用於	c=113 d=0.736738 t=59920
yong zai 	用在	c=2 d=1 t=58984
yong zhong 	臃腫	c=1 d=1 t=5678
yong zuo 	用作	c=3 d=6.70662e-07 t=59920
you 	又	c=33 d=1 t=57931
you 	有	c=348 d=1.80847 t=59920
you 	油	c=1 d=1 t=20359
you 	由	c=47 d=0.392586 t=59920
you bi yao 	有必要	c=1 d=1 t=36834
you bian hua 	有變化	c=1 d=1 t=28567
you chong tu 	有衝突	c=2 d=1.00461 t=33041
you ci 	由此	c=5 d=2.77393 t=41827
you cuo 	有錯	c=3 d=1.99501 t=54572
you cuo wu 	有錯誤	c=1 d=1 t=21118
you cuo wu me 	有錯誤麼	c=1 d=1 t=19971
you de 	又得	c=1 d=1 t=33659
you de 	有的	c=4 d=1.96079 t=51728
you de hua 	有的話	c=1 d=1 t=44211
you di fang 	有地方	c=1 d=1 t=28379
you dian 	優點	c=10 d=1.99501 t=58441
you dian 	有點	c=40 d=1.71725 t=59920
you dian duo 	有點多	c=1 d=1 t=28272
you dian luan 	有點亂	c=2 d=1 t=51034
you dian man 	有點慢	c=1 d=1 t=28273
you duan 	右端	c=1 d=1 t=29191
you duo da 	有多大	c=1 d=1 t=57724
you er yuan 	幼兒園	c=3 d=7.8703e-07 t=59920
you ge 	有個	c=26 d=0.0259911 t=59920
you ge ji hui 	有個機會	c=1 d=1 t=26080
you guan 	有關	c=10 d=1.8707 t=57783
you guan xi 	有關係	c=2 d=1 t=31769
you hao 	友好	c=1 d=0.0096577 t=59920
you hua 	優化	c=62 d=1.19193 t=59920
you hua hou 	優化後	c=1 d=1 t=51108
you huan jing 	有環境	c=1 d=1 t=34336
you hui 	優惠	c=3 d=2.79203 t=18181
you hui 	又會	c=1 d=1 t=44066
you ji ge 	有幾個	c=2 d=1 t=33910
you jian 	郵件	c=40 d=1.62037 t=59920
you jian jiang 	郵件將	c=1 d=1 t=58073
you jian zhang hu 	郵件賬戶	c=1 d=1 t=3543
you jian zu 	郵件組	c=1 d=0.000871757 t=59920
you jie 	有解	c=1 d=1 t=8771
you ke neng 	有可能	c=8 d=0.00052611 t=59920
you le 	有了	c=4 d=1.00158 t=31513
you li yu 	有利於	c=2 d=1 t=35969
you liang chu bu tai 	有兩處不太	c=1 d=1 t=53139
you liang ge 	有兩個	c=1 d=1 t=40155
you me 	有麼	c=2 d=1 t=12615
you mei you 	有沒有	c=8 d=1.82283 t=55917
you mian 	右面	c=1 d=1 t=15607
you ming 	又名	c=1 d=1 t=21362
you na xie 	有哪些	c=1 d=1 t=38074
you pao le 	又跑了	c=1 d=1 t=47589
you qi 	尤其	c=4 d=1.40567e-06 t=59920
you ren 	有人	c=21 d=0.100813 t=53304
you ren yong 	有人用	c=2 d=1 t=47572
you sha 	有啥	c=3 d=1.00004 t=27573
you shen me 	有什麼	c=14 d=1 t=54786
you shi 	優勢	c=5 d=1 t=59466
you shi 	又是	c=2 d=1 t=59814
you shi 	有時	c=8 d=1.79057 t=54904
you shi hou 	有時候	c=8 d=1 t=57727
you shi jian 	有時間	c=41 d=0.00299872 t=59920
you shi qing 	有事情	c=1 d=1 t=4065
you suo 	有所	c=10 d=0.1 t=53309
you suo zhun bei 	有所準備	c=1 d=1 t=53310
you tiao jian 	有條件	c=1 d=1 t=44304
